iteration,day,south,north,west,east,weight_light,weight_medium,weight_heavy,angle,length,strength,distance
1,1,1,0,0,0,1,0,0,0,34,1,0.648186369530982
2,2,1,0,0,0,1,0,0,0,34,1,4.67991138552076
3,3,1,0,0,0,1,0,0,0,34,1,2.56668043560749
4,4,1,0,0,0,1,0,0,0,34,1,0.536717636756312
5,5,1,0,0,0,1,0,0,0,34,1,0.713731989765188
6,6,1,0,0,0,1,0,0,0,34,1,2.35406208895401
7,1,1,0,0,0,1,0,0,0,34,2.5,0.264548888669166
8,2,1,0,0,0,1,0,0,0,34,2.5,2.20666047389407
9,3,1,0,0,0,1,0,0,0,34,2.5,1.55549840136877
10,4,1,0,0,0,1,0,0,0,34,2.5,1.24849967050457
11,5,1,0,0,0,1,0,0,0,34,2.5,1.53592214616827
12,6,1,0,0,0,1,0,0,0,34,2.5,4.1673790690168
13,1,1,0,0,0,1,0,0,0,34,4,1.71483822995525
14,2,1,0,0,0,1,0,0,0,34,4,0.5128598199599
15,3,1,0,0,0,1,0,0,0,34,4,1.81917676254411
16,4,1,0,0,0,1,0,0,0,34,4,1.17694550332547
17,5,1,0,0,0,1,0,0,0,34,4,4.28976118207783
18,6,1,0,0,0,1,0,0,0,34,4,0.231123490955556
19,1,1,0,0,0,1,0,0,0,34,5.5,2.74264062099407
20,2,1,0,0,0,1,0,0,0,34,5.5,1.94399740721222
21,3,1,0,0,0,1,0,0,0,34,5.5,3.17187121373062
22,4,1,0,0,0,1,0,0,0,34,5.5,1.60895910229698
23,5,1,0,0,0,1,0,0,0,34,5.5,4.43904177163762
24,6,1,0,0,0,1,0,0,0,34,5.5,0.351283931093417
25,1,1,0,0,0,1,0,0,0,34,7,2.37149869441055
26,2,1,0,0,0,1,0,0,0,34,7,11.1553088127951
27,3,1,0,0,0,1,0,0,0,34,7,10.6039819256085
28,4,1,0,0,0,1,0,0,0,34,7,9.20776445490922
29,5,1,0,0,0,1,0,0,0,34,7,11.4506825766524
30,6,1,0,0,0,1,0,0,0,34,7,12.0659779741338
31,1,1,0,0,0,1,0,0,0,34,8.5,12.3151998016204
32,2,1,0,0,0,1,0,0,0,34,8.5,33.6451883603214
33,3,1,0,0,0,1,0,0,0,34,8.5,31.7121999675865
34,4,1,0,0,0,1,0,0,0,34,8.5,35.1259237482681
35,5,1,0,0,0,1,0,0,0,34,8.5,33.4973680485657
36,6,1,0,0,0,1,0,0,0,34,8.5,33.3446444164403
37,1,1,0,0,0,1,0,0,0,34,10,66.9999749901536
38,2,1,0,0,0,1,0,0,0,34,10,68.8001196117913
39,3,1,0,0,0,1,0,0,0,34,10,68.5059105936915
40,4,1,0,0,0,1,0,0,0,34,10,71.4420411519773
41,5,1,0,0,0,1,0,0,0,34,10,71.6441243164957
42,6,1,0,0,0,1,0,0,0,34,10,69.6130708450792
43,1,1,0,0,0,1,0,0,0,36,1,4.10743755278544
44,2,1,0,0,0,1,0,0,0,36,1,4.60596457346531
45,3,1,0,0,0,1,0,0,0,36,1,3.16208027464512
46,4,1,0,0,0,1,0,0,0,36,1,4.69434201309605
47,5,1,0,0,0,1,0,0,0,36,1,2.97851125572416
48,6,1,0,0,0,1,0,0,0,36,1,2.39608733987673
